	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
143	Ca_009	Transmitter	Carprofen	21	106.818181818182	NA	NA	NA	NA	NA
144	Ca_009	Transmitter	Carprofen	22	109.090909090909	NA	NA	NA	NA	NA
145	Ca_009	Transmitter	Carprofen	23	110.454545454545	NA	NA	NA	NA	NA
146	Ca_009	Transmitter	Carprofen	24	109.090909090909	NA	NA	NA	NA	NA
147	Ca_009	Transmitter	Carprofen	25	110.909090909091	NA	NA	NA	NA	NA
148	Ca_009	Transmitter	Carprofen	26	109.545454545455	NA	NA	NA	NA	NA
149	Ca_009	Transmitter	Carprofen	27	110	NA	NA	NA	NA	NA
150	Ca_009	Transmitter	Carprofen	28	111.36	NA	465.788990825688	8.47116944444444	36.5166055045872	653.21
151	Ca_011	Transmitter	Carprofen	-1	100	98.5685649987088	426.146788990826	17.8166833333333	36.0811009174312	641.13
152	Ca_011	Transmitter	Carprofen	0	90.2912621359223	65.7466383581033	653.676470588235	4.12159207920792	36.5207843137255	110.9
153	Ca_011	Transmitter	Carprofen	1	93.2038834951456	100	554.155963302752	7.11167314814815	37.295871559633	709.76
154	Ca_011	Transmitter	Carprofen	2	94.1747572815534	92.4297043979813	514.256880733945	9.42098981481481	37.0311009174312	275.96
155	Ca_011	Transmitter	Carprofen	3	97.0873786407767	NA	473.935779816514	9.15005092592592	36.7260550458716	559.84
156	Ca_011	Transmitter	Carprofen	4	100.485436893204	88.5877318116976	513.990825688073	9.75553518518518	37.0636697247706	779.5
157	Ca_011	Transmitter	Carprofen	5	98.5436893203883	NA	482.201834862385	9.15097777777778	36.7017431192661	672.8
158	Ca_011	Transmitter	Carprofen	6	100.485436893204	NA	NA	NA	NA	NA
159	Ca_011	Transmitter	Carprofen	7	99.5145631067961	99.1465149359886	464.532110091743	11.9480824074074	36.642752293578	829.86
160	Ca_011	Transmitter	Carprofen	8	101.456310679612	NA	NA	NA	NA	NA
161	Ca_011	Transmitter	Carprofen	9	102.427184466019	NA	NA	NA	NA	NA
162	Ca_011	Transmitter	Carprofen	10	102.912621359223	NA	NA	NA	NA	NA
163	Ca_011	Transmitter	Carprofen	11	104.368932038835	NA	NA	NA	NA	NA
164	Ca_011	Transmitter	Carprofen	12	103.398058252427	NA	NA	NA	NA	NA
165	Ca_011	Transmitter	Carprofen	13	104.854368932039	NA	NA	NA	NA	NA
166	Ca_011	Transmitter	Carprofen	14	106.31067961165	NA	449.009174311927	15.3573277777778	36.2057798165138	838.84
167	Ca_011	Transmitter	Carprofen	15	105.339805825243	NA	NA	NA	NA	NA
