	id	treatment	condition	day	bwc	hr	hrv	temp	act
124	ID_802	Sham	Sham	38	NA	579.5666667	8.188018333	34.21701667	271.3491
125	ID_802	Sham	Sham	39	NA	588.25	8.195606667	33.96545	132.9503
126	ID_802	Sham	Sham	40	97.17741935	586.5897436	7.961525641	33.92541026	21.4021
127	ID_804	Sham	Sham	-1	100	587.0659664	8.785832283	34.75594608	445.1108529
128	ID_804	Sham	Sham	0	NA	551.1833333	13.12871	35.32705	1804.2929
129	ID_804	Sham	Sham	1	NA	556.1355932	13.73679333	35.51630508	2138.1962
130	ID_804	Sham	Sham	2	NA	551.35	12.35801333	35.53395	1380.4837
131	ID_804	Sham	Sham	3	NA	602.6666667	10.251865	35.87238333	1331.2967
132	ID_804	Sham	Sham	4	NA	597.3166667	10.91548333	35.89198333	1097.5062
133	ID_804	Sham	Sham	5	NA	616.0172414	9.401668333	35.73408621	818.1705
134	ID_804	Sham	Sham	6	NA	620.5333333	6.896323333	35.19088333	1101.6876
135	ID_804	Sham	Sham	7	NA	620.3666667	6.911113333	35.5019	1147.4357
136	ID_804	Sham	Sham	8	NA	618.5333333	7.847598333	35.63043333	1022.3899
137	ID_804	Sham	Sham	9	NA	629.4333333	8.539251667	35.6114	1247.2899
138	ID_804	Sham	Sham	10	NA	617.8666667	10.09487667	35.6048	1506.2491
139	ID_804	Sham	Sham	11	NA	608.6833333	9.994995	35.63661667	1584.6317
140	ID_804	Sham	Sham	12	NA	589.0833333	10.15225667	35.45775	1555.3694
141	ID_804	Sham	Sham	13	NA	577.3333333	12.34971667	35.12406667	1176.1837
142	ID_804	Sham	Sham	14	NA	539.6333333	11.60174	34.9591	778.0119
143	ID_804	Sham	Sham	15	NA	526.4333333	9.423595	34.6957	706.5937
144	ID_804	Sham	Sham	16	98.4496124	548.9661017	11.157155	34.71849153	623.1227
145	ID_804	Sham	Sham	17	NA	532.4166667	13.01374667	34.7634	621.6724
146	ID_804	Sham	Sham	18	NA	510.85	13.03939167	34.52261667	165.858
147	ID_804	Sham	Sham	19	NA	521.8833333	12.75427	34.4332	367.0574
148	ID_804	Sham	Sham	20	NA	506.1833333	10.88114667	34.28138333	253.3648
149	ID_804	Sham	Sham	21	NA	510.8666667	11.85726333	34.09491667	438.4213
150	ID_804	Sham	Sham	22	NA	480.3833333	9.43423	34.46195	86.9081
151	ID_804	Sham	Sham	23	NA	543.3833333	9.014311667	34.48955	660.4149
152	ID_804	Sham	Sham	24	NA	524	13.495	34.79648333	1298.825
153	ID_804	Sham	Sham	25	NA	529.6333333	12.84936333	34.39658333	461.9738
154	ID_804	Sham	Sham	26	NA	620.6833333	8.618625	34.73825	541.2587
155	ID_804	Sham	Sham	27	NA	617.1	9.497511667	35.22146667	539.8532
156	ID_804	Sham	Sham	28	NA	583.55	10.10059167	34.95231667	466.6501
157	ID_804	Sham	Sham	29	NA	590.7833333	12.54699167	35.21685	829.616
158	ID_804	Sham	Sham	30	NA	583.7	12.56257833	35.14986667	643.8757
159	ID_804	Sham	Sham	31	NA	564.2	14.434005	35.35408333	557.1277
160	ID_804	Sham	Sham	32	NA	581.7666667	10.9091	35.25101667	1288.2754
161	ID_804	Sham	Sham	33	NA	569.1	13.627385	35.15875	521.4528
162	ID_804	Sham	Sham	34	NA	551.0847458	13.11385667	35.2470678	517.1905
163	ID_804	Sham	Sham	35	NA	569.25	13.79806333	35.08261667	617.9067
164	ID_804	Sham	Sham	36	NA	520.2166667	13.55538667	35.04138333	442.4037
165	ID_804	Sham	Sham	37	NA	558.8833333	11.22642667	35.12525	764.7221
166	ID_804	Sham	Sham	38	NA	505.8166667	12.33040167	34.6299	353.3284
167	ID_804	Sham	Sham	39	NA	493.85	12.55754333	34.10173333	163.1449
168	ID_804	Sham	Sham	40	95.34883721	490.3333333	8.366862857	34.17612821	20.5882
169	ID_806	CLP	Endpoint	-1	100	622.5810924	4.98335035	34.70464384	466.5682176
170	ID_806	CLP	Endpoint	0	NA	566.1833333	0.703456667	31.49125	4.1739
171	ID_806	CLP	Endpoint	1	NA	554.7931034	0.6708	30.47049153	62.2039
172	ID_806	CLP	Endpoint	2	NA	560.6833333	0.70183	30.60915	0
173	ID_806	CLP	Endpoint	3	NA	564.7	0.716098333	30.7627	23.1147
174	ID_806	CLP	Endpoint	4	NA	551	0.724711667	30.58776667	1.0635
175	ID_806	CLP	Endpoint	5	NA	521.0169492	0.672685	29.82345763	17.3537
176	ID_806	CLP	Endpoint	6	NA	526.9	0.604956667	29.8904	1.0566
177	ID_806	CLP	Endpoint	7	NA	555.8833333	0.652306667	30.9539	0
178	ID_806	CLP	Endpoint	8	NA	561.6666667	0.657966667	31.36456667	0
179	ID_806	CLP	Endpoint	9	NA	560.2666667	0.701926667	31.60048333	0
180	ID_806	CLP	Endpoint	10	NA	540.0333333	0.759825	31.12751667	2.1141
181	ID_806	CLP	Endpoint	11	NA	536.1	0.762175	30.86706667	0
182	ID_806	CLP	Endpoint	12	NA	523.8833333	0.722585	30.77018333	0
183	ID_806	CLP	Endpoint	13	NA	486.9666667	0.784935	30.1794	0
184	ID_806	CLP	Endpoint	14	NA	437.05	0.909131667	29.0417	6.2431
185	ID_806	CLP	Endpoint	15	NA	359.3333333	0.700861667	27.12713333	1.0566
186	ID_806	CLP	Endpoint	16	97.58	320.0434783	0.749869565	26.17117391	11.1769
187	ID_806	CLP	Endpoint	17	NA	NA	NA	NA	NA
188	ID_806	CLP	Endpoint	18	NA	NA	NA	NA	NA
189	ID_806	CLP	Endpoint	19	NA	NA	NA	NA	NA
190	ID_806	CLP	Endpoint	20	NA	NA	NA	NA	NA
191	ID_806	CLP	Endpoint	21	NA	NA	NA	NA	NA
192	ID_806	CLP	Endpoint	22	NA	NA	NA	NA	NA
193	ID_806	CLP	Endpoint	23	NA	NA	NA	NA	NA
194	ID_806	CLP	Endpoint	24	NA	NA	NA	NA	NA
195	ID_806	CLP	Endpoint	25	NA	NA	NA	NA	NA
196	ID_806	CLP	Endpoint	26	NA	NA	NA	NA	NA
197	ID_806	CLP	Endpoint	27	NA	NA	NA	NA	NA
198	ID_806	CLP	Endpoint	28	NA	NA	NA	NA	NA
199	ID_806	CLP	Endpoint	29	NA	NA	NA	NA	NA
200	ID_806	CLP	Endpoint	30	NA	NA	NA	NA	NA
201	ID_806	CLP	Endpoint	31	NA	NA	NA	NA	NA
202	ID_806	CLP	Endpoint	32	NA	NA	NA	NA	NA
